rank,x,y,z,u,d,l,r,f,b
0,0,0,0,-2,20,-2,5,-2,1
1,0,0,1,-2,21,-2,6,0,2
2,0,0,2,-2,22,-2,7,1,3
4,0,0,4,-2,24,-2,9,3,-2
9,0,1,4,-2,29,4,14,8,-2
12,0,2,2,-2,32,7,17,11,13
16,0,3,1,-2,36,11,-2,15,17
18,0,3,3,-2,38,13,-2,17,19
28,1,1,3,8,-2,23,33,27,29
32,1,2,2,12,-2,27,37,31,33
33,1,2,3,13,-2,28,38,32,34
36,1,3,1,16,-2,31,-2,35,37
37,1,3,2,17,-2,32,-2,36,38
5,0,1,0,-2,25,0,10,-2,6
6,0,1,1,-2,26,1,11,5,7
8,0,1,3,-2,28,3,13,7,9
20,1,0,0,0,-2,-2,25,-2,21
22,1,0,2,2,-2,-2,27,21,23
25,1,1,0,5,-2,20,30,-2,26
34,1,2,4,14,-2,29,39,33,-2
10,0,2,0,-2,30,5,15,-2,11
13,0,2,3,-2,33,8,18,12,14
14,0,2,4,-2,34,9,19,13,-2
17,0,3,2,-2,37,12,-2,16,18
21,1,0,1,1,-2,-2,26,20,22
24,1,0,4,4,-2,-2,29,23,-2
26,1,1,1,6,-2,21,31,25,27
29,1,1,4,9,-2,24,34,28,-2
30,1,2,0,10,-2,25,35,-2,31
38,1,3,3,18,-2,33,-2,37,39
23,1,0,3,3,-2,-2,28,22,24
31,1,2,1,11,-2,26,36,30,32
35,1,3,0,15,-2,30,-2,-2,36
39,1,3,4,19,-2,34,-2,38,-2
3,0,0,3,-2,23,-2,8,2,4
7,0,1,2,-2,27,2,12,6,8
11,0,2,1,-2,31,6,16,10,12
15,0,3,0,-2,35,10,-2,-2,16
19,0,3,4,-2,39,14,-2,18,-2
27,1,1,2,7,-2,22,32,26,28
